Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
"Improving IWRM, Knowledge-based Management and Governance of the Niger Basin and the Iullemeden-Taoudeni/Tanezrouft Aquifer System (NB-ITTAS)",5535,Regional,International Waters,Full-size Project,"United Nations Development Programme, United Nations Environment Programme",13425000,1071450445,Project Approved,2018,GEF Trust Fund,No,No,GEF - 5,1084875445
Disposal of  PCB Oils Contained in Transformers and Disposal of Capacitors Containing PCB in Southern Africa,5532,Regional,"Chemicals and Waste, Chemicals and Waste",Full-size Project,United Nations Environment Programme,7710000,33661319,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,41371319
Ecosystem Approach to Haiti Cote Sud,5531,Regional,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Environment Programme,6216000,42669700,Project Approved,2015,Multi Trust Fund,No,No,GEF - 5,48885700
ASTUD: Regional Knowledge Sharing,5527,Regional,Climate Change,Medium-size Project,Asian Development Bank,185500,4698000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,4883500
Support to the Cubango-Okavango River Basin Strategic Action Programme Implementation,5526,Regional,International Waters,Full-size Project,United Nations Development Programme,6100000,336638032,Completed,2017,GEF Trust Fund,No,No,GEF - 5,342738032
Namibia’s First Biennial Update Report (FBUR) to the UNFCCC,5521,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,50000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,402000
Initial National Communication to the UNFCCC,5519,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,500000,100000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,600000
Western Indian Ocean Large Marine Ecosystems Strategic Action Programme Policy Harmonization and Institutional Reforms (SAPPHIRE),5513,Regional,International Waters,Full-size Project,United Nations Development Programme,10976891,333428294,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,344405185
National Biodiversity Planning to Support the Implementation of the CBD 2011-2020 Strategic Plan,5502,Regional,Biodiversity,Enabling Activity,United Nations Development Programme,220000,30000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,250000
Development of Mercury Risk Management Approaches in Latin America,5494,Regional,Chemicals and Waste,Medium-size Project,United Nations Environment Programme,916000,2894434,Completed,2013,GEF Trust Fund,No,No,GEF - 5,3810434
National Capacity Self-Assessment (NCSA) for Global Environmental Management in South Sudan,5488,Regional,,Enabling Activity,United Nations Development Programme,200000,100000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,300000
Integrated Development for Increased Rural Climate Resilience in the Niger Basin,5487,Regional,"Climate Change, International Waters, Land Degradation",Full-size Project,African Development Bank,12014800,61000000,Project Approved,2017,GEF Trust Fund,No,No,GEF - 5,73014800
Support to Tuvalu for the Revision of the NBSAPs and Development of Fifth National Report to the Convention on Biological Diversity (CBD),5480,Regional,Biodiversity,Enabling Activity,United Nations Environment Programme,220000,180000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,400000
Third National Comunication (3NC) and First Biennial Update Report (BUR),5478,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,0,Completed,2013,GEF Trust Fund,No,No,GEF - 5,852000
Third National Communication (TNC) and Biennial Update Report to the UNFCCC,5476,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,200000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,1052000
Third National Communication on Climate Change and First Biennial Update Report,5475,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,320000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,1172000
Third National Communication and First Biennial Update Report to the UNFCCC,5474,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,40000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,892000
Updating the National Biodiversity Strategy and Developing the Action Plan to Support the Implementation of the CBD 2011-2020 Strategic Plan,5465,Regional,Biodiversity,Enabling Activity,United Nations Development Programme,220800,350000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,570800
Ratification and Implementation of the Nagoya Protocol on Access and Benefit Sharing (ABS) for the Member Countries of  the Central African Forests Commission COMIFAC,5454,Regional,Biodiversity,Medium-size Project,United Nations Environment Programme,1762557,9200000,Project Approved,2014,NPIF,No,No,GEF - 5,10962557
Bosnia and Herzegovina's First Biennial Update Report (FBUR),5447,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,46000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,398000
Preparation of  Ghana's Initial Biennial Update Report to UNFCCC,5445,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,352000,35000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,387000
Third National Communication to the UNFCCC,5443,Regional,Climate Change,Enabling Activity,United Nations Development Programme,500000,77149,Completed,2013,GEF Trust Fund,No,No,GEF - 5,577149
Azerbaijan's First Biennial Update Report,5441,Regional,Climate Change,Enabling Activity,United Nations Development Programme,321461,71000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,392461
Fighting Against Wildlife Poaching and Illegal Trade in Africa The Case of African Elephants,5439,Regional,Biodiversity,Medium-size Project,The World Bank,2000000,1800000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,3800000
Alignment of National Action Programs with the UNCCD 10-year Strategy and Reporting Process,5434,Regional,Land Degradation,Enabling Activity,Food and Agriculture Organization,136986,150000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,286986
National Biodiversity Planning to Support the Implementation of the CBD 2011-2020 Strategic Plan,5426,Regional,Biodiversity,Enabling Activity,United Nations Development Programme,220000,304724,Completed,2013,GEF Trust Fund,No,No,GEF - 5,524724
Support to Alignment of Cape Verde’s National Action Programme to the UNCCD 10 Year Strategy and Preparation of the Reporting and Review Process,5425,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,160000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,296986
"GGW: Building Resilience Through Innovation, Communication and Knowledge Services (BRICKS) Project",5423,Regional,"Climate Change, Land Degradation",Full-size Project,The World Bank,4629630,10000000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,14629630
National Biodiversity Planning to Support the Implementation of the CBD 2011-2020 Strategic Plan in Mauritius,5418,Regional,Biodiversity,Enabling Activity,United Nations Development Programme,220000,142000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,362000
Lebanon's First Biennial Update Reporting,5415,Regional,Climate Change,Enabling Activity,United Nations Development Programme,321461,20000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,341461
Biennial Update Report 2014 to the UNFCCC,5413,Regional,Climate Change,Enabling Activity,United Nations Development Programme,321461,325000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,646461
"Disposal of  Obsolete Pesticides including POPs, Promotion of Alternatives and Strengthening Pesticides Management in the Caribbean",5407,Regional,"Chemicals and Waste, Chemicals and Waste",Full-size Project,Food and Agriculture Organization,4357500,26368739,Completed,2015,GEF Trust Fund,No,No,GEF - 5,30726239
EAS: Scaling up the Implementation of the Sustainable Development Strategy for the Seas of East Asia,5405,Regional,International Waters,Full-size Project,United Nations Development Programme,10643992,157265467,Completed,2014,GEF Trust Fund,No,No,GEF - 5,167909459
"R2R: Testing the Integration of Water, Land, Forest & Coastal Management to Preserve Ecosystem Services, Store Carbon,  Improve Climate Resilience and Sustain Livelihoods in Pacific Island Countries",5404,Regional,International Waters,Full-size Project,United Nations Development Programme,10317454,87708160,Completed,2015,GEF Trust Fund,No,No,GEF - 5,98025614
Establishment and Operation of a Regional System of Fisheries Refugia in the South China Sea and Gulf of Thailand,5401,Regional,International Waters,Full-size Project,United Nations Environment Programme,3000000,12717850,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,15717850
"Implementing a ""Ridge to Reef"" Approach to Preserve Ecosystem Services, Sequester Carbon, Improve Climate Resilience and Sustain Livelihoods in Fiji (Fiji R2R)",5398,Regional,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,United Nations Development Programme,7387614,30242012,Completed,2015,GEF Trust Fund,No,No,GEF - 5,37629626
R2R: Integrated Sustainable Land and Coastal Management,5397,Regional,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,Food and Agriculture Organization,4605680,15290558,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,19896238
Sustainable Management of Highly Migratory Fish Stocks in the West Pacific and East Asian Seas,5393,Regional,International Waters,Full-size Project,United Nations Development Programme,2233578,19859525,Completed,2014,GEF Trust Fund,No,No,GEF - 5,22093103
Support to Eritrea for the Revision of the NBSAPs and Development of Fifth National Report to the Convention on Biological Diversity (CBD),5389,Regional,Biodiversity,Enabling Activity,United Nations Environment Programme,220000,216000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,436000
PPP-IDB Sustainable Caribbean Basin Energy Fund (PROGRAM),5388,Regional,Climate Change,Full-size Project,Inter-American Development Bank,15000000,246000000,Project Approved,2016,GEF Trust Fund,Yes,No,GEF - 5,261000000
Andes Adaptation to the Impact of Climate Change on Water Resources Project (AICCA),5384,Regional,"Biodiversity, Climate Change",Full-size Project,Development Bank of Latin America,9696621,58181237,Project Approved,2017,Multi Trust Fund,No,No,GEF - 5,67877858
"R2R: Implementing a ""Ridge to Reef"" Approach to Protecting Biodiversity and Ecosystem Functions in Nauru (R2R Nauru)",5381,Regional,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,United Nations Development Programme,2644358,8407000,Completed,2015,GEF Trust Fund,No,No,GEF - 5,11051358
Third National Communication (TNC) and Biennial Update Report to the UNFCCC,5370,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,700000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,1552000
Macedonia's First Biennial Update Report,5369,Regional,Climate Change,Enabling Activity,United Nations Development Programme,321461,106000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,427461
"Conserving Biodiversity and Enhancing Ecosystem Functions through a ""Ridge to Reef"" Approach in the Cook Island",5348,Regional,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,United Nations Development Programme,4267431,14950000,Completed,2015,GEF Trust Fund,No,No,GEF - 5,19217431
Support to Alignment of Zimbabwe's National Action Programme and Reporting  Process to the UNCCD Ten-Year Strategy,5346,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,150000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,286986
Promotion of BAT and BEP to Reduce uPOPs Releases from Waste Open Burning in the Participating African Countries of COMESA-SADC Subregions,5322,Regional,"Chemicals and Waste, Chemicals and Waste",Full-size Project,United Nations Industrial Development Organization,6615000,28361000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,34976000
Support for the Development of  National Action Program Aligned to the UNCCD 10 Year Strategy and Reporting  Process under UNCCD,5315,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,170000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,306986
National Action Programme (NAP) Alignment and Fith Reporting to UNCCD,5313,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,260000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,396986
Sustainable Energy for the Eastern Caribbean (SEEC) Program,5312,Regional,Climate Change,Full-size Project,Inter-American Development Bank,3013698,49435000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 5,52448698
Support for Development of  National Action Program Aligned to the UNCCD 10 Year Strategy and Reporting  Process,5311,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,170000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,306986
Enabling Transboundary Cooperation and Integrated Water Resources Management in the Chu and Talas River Basins,5310,Regional,International Waters,Medium-size Project,United Nations Development Programme,1000000,6173970,Completed,2014,GEF Trust Fund,No,No,GEF - 5,7173970
