AID Contribution 000 US$,Magnitude,Latitude,Longitude,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs 000 US$,"Reconstruction Costs, Adjusted 000 US$",Insured Damage 000 US$,"Insured Damage, Adjusted 000 US$",Total Damage 000 US$,"Total Damage, Adjusted 000 US$",CPI,duration,Start Year,Start Year GDP current US$,End Year,End Year GDP current US$
172.6,144.62,-16.1018,100.0296,500.0,32.6,27324.8,11522.0,18512.6,59000.0,86308.2,38840.0,175866.4,38120.0,362908.8,10.05081019,1.0,1963.0,294883400.0,1963.0,294883400.0
172.6,152.62,-16.101800000000004,100.0296,1106.6,32.6,2724.0,11522.0,2724.0,59000.0,86308.2,36320.0,172733.8,38120.0,362908.8,10.05081019,1.0,1963.0,294883400.0,1963.0,294883400.0
926.2,15681.395999999999,17.3988,-6.919600000000001,200.0,193.6,5000000.0,232272.8,5000000.0,2520012.6,2992040.6,151400.0,231895.6,33920.0,83373.2,10.05081019,1.0,1963.0,48421923459.0,1963.0,48421923459.0
926.2,15681.395999999999,17.3988,-6.919600000000001,112.0,83.6,1034576.4,52272.8,1034711.6,2520012.6,2992040.6,151400.0,231895.6,21552.0,52973.6,10.05081019,1.0,1963.0,48421923459.0,1963.0,48421923459.0
926.2,15681.395999999999,17.3988,-6.919600000000001,200.0,83.6,1034576.4,52272.8,1034711.6,2520012.6,2992040.6,151400.0,231895.6,21552.0,52973.6,10.05081019,1.0,1963.0,48421923459.0,1963.0,48421923459.0
2029.4,43985.6,28.344780000000004,75.6354,1917.0,158.6,23358.8,2845.8,24943.6,2163200.0,2595410.8,100000.0,178720.4,17034.0,35870.4,10.05081019,1.0,1963.0,60035924618.0,1963.0,60035924618.0
2838.6,23959.0,13.78276,-65.135,11.0,58.4,1832.6,967.8,832.8,59000.0,86308.2,37300.0,173499.0,11525.0,114667.0,10.05081019,1.0,1963.0,826706669.3,1963.0,826706669.3
4457.4,488173.496,22.478199999999998,16.6982,86.0,189.2,946232.6,1545.0,946604.8,2831400.0,3443145.0,71600.0,121758.8,47407.4,88712.4,10.05081019,1.0,1963.0,74379284603.0,1963.0,74379284603.0
4457.4,488173.496,22.478199999999998,16.6982,47.0,189.2,946232.6,1545.0,946604.8,2831400.0,3443145.0,71600.0,121758.8,47407.4,88712.4,10.05081019,1.0,1963.0,74379284603.0,1963.0,74379284603.0
4457.4,488173.496,22.478199999999998,16.6982,66.0,189.2,946232.6,1545.0,946604.8,2831400.0,3443145.0,71600.0,121758.8,47407.4,88712.4,10.05081019,1.0,1963.0,74379284603.0,1963.0,74379284603.0
1319.4,729.24,-0.5637999999999994,74.02340000000001,116.0,1130.6,205232.2,25276.0,205425.6,59000.0,86308.2,110300.0,235808.8,38480.0,64123.2,10.05081019,1.0,1963.0,3988461538.0,1963.0,3988461538.0
2173.2,5.4,32.6,21.0,300.0,375.0,4788.0,5000.0,5375.0,59000.0,86308.2,47120.0,207451.8,5000.0,49747.0,10.05081019,1.0,1963.0,892327910.7,1963.0,892327910.7
2610.6,11082.144,0.2269999999999996,38.1276,69.0,10.0,35000.0,17640.0,35010.0,59000.0,86308.2,164040.0,295723.4,99140.0,281703.2,10.05081019,1.0,1963.0,2657252578.0,1963.0,2657252578.0
